1924,1.55
1925,1.82
1926,0.79
1927,0.78
1928,1.2
1929,1.04
1930,3.9
1931,1.3
1932,1.55
1933,1.81
1934,2.54
1935,1.55
1936,1.54
1937,2.72
1938,4.27
1939,2.09
1940,1.86
1941,1.33
1942,0.98
1943,1.33
1944,1.56
1945,1.54
1946,1.26
1947,1.5
1948,1.13
1949,1.77
1950,3.39
1951,0.97
1952,1.08
1953,1.71
1954,1.72
1955,0.35
1956,-0.1
1957,1.8
1958,1.03
1959,1.59
1960,1.79
1961,2.32
1962,0.58
1963,2.24
1964,1.4
1965,2.01
1966,-0.81
1967,1.37
1968,0.77
1969,2.37
1970,2.27
1971,-0.01
1972,1.87
1973,2.86
1974,2.2
1975,1.53
1976,0.74
1977,0.52
1978,0.48
1979,0.34
1980,1.8
1981,0.26
1982,0.41
1983,1.38
1984,1.54
1985,0.58
1986,1.36
1987,1.28
1988,1.24
1989,2.05
1990,1.86
1991,2.58
1992,1.87
1993,1.69
1994,1.4
1995,2.12
1996,1.53
1997,1.17
1998,1.02
1999,1.99
2000,2.21
2001,1.35
2002,2.16
2003,2.12
2004,2.31
2005,2.78
2006,2.35
2007,2.49
2008,2.39
2009,2.83
2010,2.28
