YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1962   -5.0   -4.4   -7.0   -0.6    1.6    4.6    8.0    7.8    6.6    2.2    0.9   -3.9    -4.7    -2.0     6.8     3.2    0.83
1963   -5.3   -7.6   -7.3   -0.7    5.7    5.1    8.0    8.2    8.1    3.4   -1.8   -4.3    -5.6    -0.8     7.1     3.2    0.99
1964   -3.4   -6.2   -1.5   -1.6    3.0    6.7   10.8    9.4    6.4    3.9   -2.1   -3.2    -4.6    -0.0     9.0     2.7    1.76
1965   -4.5   -5.2   -5.1   -0.7    0.7    5.7    6.9    7.6    6.4    1.7   -2.2   -4.9    -4.3    -1.7     6.7     2.0    0.68
1966   -7.9   -8.8   -8.0   -2.9    1.0    6.4    9.8    8.6    4.4   -0.2   -0.2   -4.4    -7.2    -3.3     8.3     1.3   -0.22
1967   -6.1   -5.0   -1.1   -0.1    2.6    7.0    9.5   10.3    7.9    2.4    2.1   -4.2    -5.2     0.5     8.9     4.1    2.09
1968   -7.4   -5.5   -4.1   -2.1    0.4    5.1    6.7    8.6    4.1   -1.1   -1.6   -1.8    -5.7    -1.9     6.8     0.5   -0.09
1969   -6.7   -9.7   -4.7   -2.2    0.9    4.6    8.4    9.0    6.5    3.7   -0.8   -3.5    -6.1    -2.0     7.3     3.1    0.60
1970   -3.2   -8.3   -2.4   -2.8    3.0    7.3    9.8   10.7    7.0    3.3   -1.8   -2.3    -5.0    -0.7     9.3     2.8    1.59
1971   -5.3   -6.3   -5.9   -2.3    1.7    4.1    8.8    9.3    5.9    1.2   -4.4   -3.3    -4.6    -2.2     7.4     0.9    0.38
1972   -3.6   -4.6   -2.5   -0.9    2.7    8.4   12.2   11.7    7.1    2.9   -2.1   -0.2    -3.8    -0.2    10.8     2.6    2.33
1973   -3.3   -4.2   -3.5    0.2    3.3    7.3   11.6    9.5    5.5    0.5   -2.0   -5.4    -2.6     0.0     9.5     1.3    2.06
1974   -3.7   -3.1   -0.6   -0.2    2.1    7.3   11.6   10.2    8.5    2.5   -1.8   -1.0    -4.1     0.4     9.7     3.1    2.28
1975   -4.3   -2.9   -1.0    0.0    3.6    5.6    8.4    7.5    7.6    1.4   -0.5   -4.3    -2.7     0.9     7.2     2.8    2.03
1976   -5.6   -4.3   -3.1   -0.1    3.5    5.5    9.6    9.7    5.0    1.3   -2.3   -2.9    -4.7     0.1     8.3     1.3    1.24
1977   -4.8   -4.8   -4.2   -1.8    2.4    6.0    8.6    8.3    5.9    1.6    0.8   -3.4    -4.2    -1.2     7.6     2.8    1.26
1978   -6.3   -7.0   -4.5   -2.4    2.9    4.5    7.0    8.1    5.5    1.2   -1.1   -5.8    -5.6    -1.3     6.5     1.9    0.38
1979   -7.4   -6.5   -3.8   -2.4    2.6    5.4    9.2    9.9    7.4    1.1   -1.5   -1.9    -6.6    -1.2     8.2     2.3    0.68
1980   -5.0   -6.2   -4.3    0.1    1.8    6.7    7.7    9.1    7.2    2.4   -2.9   -5.2    -4.4    -0.8     7.8     2.2    1.23
1981   -5.8   -6.3   -6.2   -2.4    2.1    5.1    8.7    8.8    6.6    3.5   -0.7   -5.7    -5.8    -2.2     7.5     3.1    0.68
1982   -6.0   -4.1   -2.6   -0.3    2.5    4.0   10.1    8.1    6.2    1.9   -0.6   -2.1    -5.3    -0.1     7.4     2.5    1.13
1983   -2.5   -4.2   -1.9    1.0    2.3    6.6   10.0    8.8    7.8    3.0   -3.0   -5.3    -2.9     0.5     8.5     2.6    2.15
1984   -4.6   -2.7   -4.1   -0.2    4.7    6.8    8.8    8.9    6.4    2.9   -1.9   -1.2    -4.2     0.1     8.2     2.5    1.64
1985   -7.4   -8.5   -2.2   -2.0    1.6    5.7    8.7    9.2    7.3    2.8   -0.7   -6.1    -5.7    -0.9     7.9     3.1    1.11
1986   -5.3   -6.8   -1.7   -1.7    2.8    8.1    8.2    9.2    4.9    3.4    0.5   -5.5    -6.1    -0.2     8.5     2.9    1.29
1987   -5.6   -7.2   -4.4   -1.7    2.2    4.9    8.3    7.0    6.9    6.0   -2.9   -4.6    -6.1    -1.3     6.7     3.3    0.67
1988   -5.2   -4.0   -4.4   -2.9    2.6    6.3   10.1    9.3    7.5    2.3   -3.7   -5.6    -4.6    -1.6     8.6     2.0    1.11
1989   -3.5   -3.6   -0.9    2.7    5.1    9.4   10.1   10.3    7.8    2.2    0.6   -3.7    -4.2     2.3     9.9     3.5    2.88
1990   -5.5   -0.3   -1.9    1.6    2.4    6.8   10.1   10.9    7.6    2.9   -2.0   -0.6    -3.2     0.7     9.3     2.8    2.41
1991   -3.6   -2.7   -3.8    0.8    2.9    6.9    9.4   10.3    5.9    3.1   -0.3   -1.5    -2.3    -0.0     8.9     2.9    2.36
1992   -1.8   -1.9   -0.7   -1.3    5.1    7.2    8.8    8.8    8.4   -0.7   -2.6   -1.0    -1.7     1.0     8.3     1.7    2.32
1993   -2.4   -3.4   -2.7   -1.2    3.0    5.0    7.9    9.3    4.5    0.4   -1.6   -4.4    -2.3    -0.3     7.4     1.1    1.48
1994   -5.5   -4.1   -2.6    1.9    2.7    5.9   10.0   10.8    6.9    1.5   -1.8   -1.5    -4.7     0.7     8.9     2.2    1.78
1995   -3.2   -3.1   -1.3   -0.1    3.0    6.9    8.8    8.5    6.8    1.7   -2.6   -5.5    -2.6     0.5     8.1     2.0    1.99
1996   -2.6   -6.1   -1.8   -1.7    1.0    5.5    7.9   10.3    6.5    3.7   -0.2   -3.4    -4.7    -0.8     7.9     3.3    1.42
1997   -5.6   -4.9   -2.1   -2.9    2.6    5.4    8.4   10.6    8.5    2.5   -1.6   -2.7    -4.6    -0.8     8.1     3.1    1.46
1998   -4.8   -8.9   -4.2   -2.3    2.5    4.5    9.0    9.4    6.1    2.5   -3.4   -3.3    -5.5    -1.3     7.6     1.7    0.64
1999   -6.6   -6.0   -2.7   -0.3    0.8    7.7    9.8    9.0    8.3    4.3    0.1   -3.4    -5.3    -0.7     8.8     4.2    1.76
2000   -3.1   -3.7   -2.8   -0.3    3.3    6.8    9.8   10.1    7.7    6.2    1.2   -2.8    -3.4     0.1     8.9     5.0    2.65
2001   -1.5   -4.8   -4.7   -0.8    2.6    7.8   10.9    9.7    8.6    2.7   -1.8   -2.5    -3.0    -1.0     9.5     3.2    2.16
