1924,0.62
1925,0.34
1926,-0.59
1927,-0.4
1928,-0.04
1929,0.56
1930,2.15
1931,0.34
1932,0.23
1933,0.24
1934,1.27
1935,0.37
1936,0.42
1937,1.7
1938,2.88
1939,0.77
1940,1.15
1941,0.58
1942,0.2
1943,0.49
1944,0.8
1945,0.64
1946,-0.16
1947,0.29
1948,0.12
1949,0.3
1950,1.97
1951,-0.04
1952,0.01
1953,0.41
1954,1.09
1955,-0.57
1956,-0.73
1957,0.24
1958,-0.62
1959,0.45
1960,0.38
1961,2.11
1962,-0.4
1963,0.29
1964,-0.4
1965,0.53
1966,-2.23
1967,0.37
1968,-0.66
1969,0.58
1970,0.78
1971,-1.22
1972,0.56
1973,1.27
1974,0.72
1975,0.32
1976,-0.19
1977,-0.7
1978,-0.82
1979,-1.29
1980,0.25
1981,-0.79
1982,-1.03
1983,0.17
1984,0.6
1985,-0.47
1986,-0.08
1987,-0.26
1988,0.01
1989,0.87
1990,1.45
1991,2.54
1992,1.54
1993,1.33
1994,0.99
1995,2.1
1996,1.29
1997,0.83
1998,0.47
1999,1.54
2000,1.93
2001,1.03
2002,1.66
2003,1.69
2004,1.86
2005,2.56
2006,1.91
2007,1.52
2008,2.03
2009,1.49
2010,0.86
