1924,2.52
1925,3.09
1926,2.0
1927,2.13
1928,2.73
1929,2.22
1930,3.98
1931,2.65
1932,2.47
1933,3.19
1934,4.07
1935,2.74
1936,2.86
1937,4.03
1938,4.07
1939,2.9
1940,2.12
1941,1.65
1942,1.62
1943,2.77
1944,3.28
1945,2.88
1946,3.02
1947,2.4
1948,2.73
1949,3.04
1950,3.54
1951,2.54
1952,2.32
1953,3.08
1954,3.45
1955,1.67
1956,1.68
1957,2.88
1958,2.29
1959,3.32
1960,3.03
1961,3.41
1962,1.84
1963,2.54
1964,2.7
1965,2.02
1966,0.91
1967,2.95
1968,0.9
1969,2.95
1970,2.53
1971,1.94
1972,3.71
1973,2.88
1974,3.32
1975,2.82
1976,2.28
1977,1.92
1978,1.97
1979,1.78
1980,2.57
1981,1.44
1982,1.99
1983,2.82
1984,2.68
1985,2.11
1986,2.2
1987,1.37
1988,2.15
1989,3.75
1990,3.87
1991,3.75
1992,3.54
1993,3.7
1994,2.77
1995,3.06
1996,3.04
1997,2.69
1998,3.17
1999,3.65
2000,3.44
2001,3.05
2002,3.68
2003,3.86
2004,4.14
2005,4.38
2006,3.57
2007,3.94
2008,3.31
2009,3.68
2010,2.3
2011,4.4
2012,3.23
2013,3.72
2014,3.75
2015,4.08
2016,4.06
2017,3.62
2018,3.19
2019,1.41
