YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1987   -6.6  -11.2   -5.7   -3.6   -1.1    0.8    3.9    3.7    2.3    1.0   -2.4  -13.4    -8.6    -3.5     2.8     0.3   -2.23
1988   -7.6   -6.1   -8.7   -9.3   -1.3    2.2    4.0    4.2    2.4   -3.1   -9.6  -12.1    -9.0    -6.4     3.5    -3.4   -3.86
1989  -10.3  -10.4   -6.9   -1.6    0.0    2.5    4.8    5.5    3.5   -0.4   -2.7   -9.2   -10.9    -2.8     4.3     0.1   -2.34
1990   -2.7   -2.9   -6.1   -2.7   -0.7    2.5    5.9    5.1    6.6    1.5   -4.3   -3.4    -4.9    -3.2     4.5     1.3   -0.58
1991   -4.0   -1.9   -4.9   -3.5   -1.0    1.4    4.2    6.7    2.9    0.1   -3.6   -3.9    -3.1    -3.1     4.1    -0.2   -0.58
1992   -4.2   -9.3   -4.6   -2.2    0.6    3.4    4.8    5.1    4.5   -2.7   -2.5   -4.9    -5.8    -2.1     4.4    -0.2   -0.92
1993   -7.1   -8.9   -6.7   -6.2   -1.9    0.6    3.6    6.1    2.0   -3.5    0.5   -4.1    -7.0    -4.9     3.4    -0.3   -2.20
1994   -8.9   -7.6   -4.1   -1.3   -0.9    2.7    5.9    4.9    2.8   -2.0   -5.0   -2.5    -6.9    -2.1     4.5    -1.4   -1.47
1995   -6.7   -6.3   -5.4   -3.9   -1.2    2.8    4.4    4.7    2.9    1.2   -8.7   -9.7    -5.2    -3.5     4.0    -1.5   -1.56
1996   -4.5  -10.8   -3.8   -7.5   -3.9    1.9    4.4    6.0    2.9    0.5   -1.8   -9.3    -8.3    -5.1     4.1     0.5   -2.19
1997  -10.5   -9.3   -5.8   -7.7   -2.2    1.2    4.2    5.0    2.6    0.1   -2.6   -3.4    -9.7    -5.2     3.5     0.0   -2.86
1998   -8.9   -9.0   -6.9   -6.1   -1.8    1.4    4.5    6.3    3.0    1.0  999.9   -3.8    -7.1    -4.9     4.1     0.5   -1.86
1999   -3.8   -5.6   -2.5   -3.8    0.1    4.6    5.3    4.5    4.6    0.9    0.5   -4.4    -4.4    -2.1     4.8     2.0    0.08
2000   -3.7   -5.0   -8.2   -5.9   -0.4    2.1    4.7    4.8    4.0    3.8    0.4   -3.2    -4.4    -4.8     3.9     2.7   -0.65
2001   -2.8   -4.2  -10.1   -6.8   -0.5    3.4    4.9    5.1    5.2   -0.3   -3.8   -4.7    -3.4    -5.8     4.5     0.4   -1.09
2002   -7.2   -6.5   -7.3   -0.2   -0.3    4.4    6.0    6.7    2.8    0.3   -2.4   -3.8    -6.1    -2.6     5.7     0.2   -0.70
2003  -13.8   -3.3   -8.4   -4.2   -1.7    2.0    4.9    4.6    3.4   -0.1   -0.3  -10.4    -7.0    -4.8     3.8     1.0   -1.73
2004   -5.7  -11.0   -1.4    0.8    0.5    2.6    8.7    6.7    4.4    0.5   -4.5   -1.5    -9.0    -0.0     6.0     0.1   -0.73
2005   -2.1   -2.1   -7.2   -2.7   -0.2    3.2    5.8    6.0    3.2    0.6   -0.3   -1.3    -1.9    -3.4     5.0     1.2    0.22
2006    0.3   -3.4   -7.5    1.4    1.8    4.9    6.6  999.9    3.8    0.1   -0.3   -0.7    -1.5    -1.4     6.2     1.2    1.14
2007   -3.6   -4.6   -2.0   -3.6    0.2    3.5    4.7    5.8    3.8    2.7   -0.8   -1.1    -3.0    -1.8     4.7     1.9    0.45
2008   -1.2   -2.5   -6.4   -4.6    0.1    2.6    4.9    4.8    4.6    0.2   -1.5   -1.3    -1.6    -3.6     4.1     1.1   -0.01
2009   -6.0   -4.2   -4.2   -6.3    1.6    3.6    4.1    5.0    3.5    0.5    1.7   -1.5    -3.8    -3.0     4.2     1.9   -0.17
2010   -2.0   -4.0   -8.6   -2.0    1.8    2.3    5.5    3.7    4.0    1.2   -3.6   -4.1    -2.5    -2.9     3.8     0.5   -0.27
2011   -6.5   -4.1   -4.7    0.7    0.3    1.9    4.7    5.9    6.2    2.0  999.9  999.9    -4.9    -1.2     4.2     2.6    0.16

